OrderDate,CustomerID,Category,Product,Quantity,UnitPrice,Region,Revenue,Month,DayOfWeek,IsWeekend
2025-06-03,CUST0062,Home & Kitchen,Throw Pillow,3,80.29,North,240.87,2025-06,Tuesday,False
2025-10-24,CUST0650,Apparel,Denim Jeans,3,107.42,South,322.26,2025-10,Friday,False
2025-04-20,CUST0631,Toys,RC Car,3,50.78,North,152.34,2025-04,Sunday,True
2025-10-20,CUST0791,Sports,Resistance Bands,3,90.85,South,272.54999999999995,2025-10,Monday,False
2025-02-15,CUST0069,Beauty,Hair Dryer,3,32.12,West,96.35999999999999,2025-02,Saturday,True
2025-05-29,CUST0202,Beauty,Lip Balm Set,3,27.37,South,82.11,2025-05,Thursday,False
2025-04-27,CUST0575,Electronics,Smartwatch,3,186.81,West,560.4300000000001,2025-04,Sunday,True
2025-07-11,CUST0529,Beauty,Hair Dryer,3,18.43,South,55.29,2025-07,Friday,False
2025-06-23,CUST0623,Electronics,Smartwatch,3,27.19,West,81.57000000000001,2025-06,Monday,False
2025-08-02,CUST0363,Apparel,Winter Jacket,3,98.12,West,294.36,2025-08,Saturday,True
2025-10-30,CUST0237,Beauty,Makeup Brush Kit,3,55.43,South,166.29,2025-10,Thursday,False
2025-11-09,CUST0148,Beauty,Hair Dryer,3,44.11,North,132.32999999999998,2025-11,Sunday,True
2025-02-12,CUST0342,Electronics,Laptop Stand,3,18.21,South,54.63,2025-02,Wednesday,False
2025-06-21,CUST0233,Beauty,Makeup Brush Kit,3,30.18,North,90.53999999999999,2025-06,Saturday,True
2025-09-25,CUST0664,Sports,Yoga Mat,3,24.96,West,74.88,2025-09,Thursday,False
2025-05-25,CUST0494,Electronics,Laptop Stand,3,224.59,South,673.77,2025-05,Sunday,True
2025-12-20,CUST0505,Apparel,Winter Jacket,3,51.79,North,155.37,2025-12,Saturday,True
2025-03-24,CUST0301,Toys,Plush Toy,3,24.29,South,72.87,2025-03,Monday,False
2025-09-23,CUST0274,Apparel,Running Shoes,3,49.29,West,147.87,2025-09,Tuesday,False
2025-09-26,CUST0399,Toys,Building Blocks,3,76.38,North,229.14,2025-09,Friday,False
2025-04-08,CUST0311,Electronics,Bluetooth Speaker,3,207.59,East,622.77,2025-04,Tuesday,False
2025-04-28,CUST0128,Home & Kitchen,Blender,3,32.3,South,96.89999999999999,2025-04,Monday,False
2025-11-27,CUST0469,Sports,Resistance Bands,3,94.2,West,282.6,2025-11,Thursday,False
2025-02-04,CUST0634,Sports,Dumbbell Set,3,124.19,East,372.57,2025-02,Tuesday,False
2025-06-12,CUST0693,Beauty,Face Serum,3,13.18,East,39.54,2025-06,Thursday,False
2025-03-17,CUST0699,Beauty,Face Serum,3,27.56,North,82.67999999999999,2025-03,Monday,False
2025-02-25,CUST0535,Electronics,Laptop Stand,3,179.51,Unknown,538.53,2025-02,Tuesday,False
2025-09-19,CUST0653,Beauty,Makeup Brush Kit,3,15.11,North,45.33,2025-09,Friday,False
2025-05-16,CUST0601,Apparel,Winter Jacket,3,66.83,Unknown,200.49,2025-05,Friday,False
2025-04-04,CUST0176,Toys,RC Car,3,39.77,East,119.31,2025-04,Friday,False
2025-01-11,CUST0349,Home & Kitchen,Blender,3,51.49,North,154.47,2025-01,Saturday,True
2025-08-25,CUST0460,Home & Kitchen,Throw Pillow,3,32.29,East,96.87,2025-08,Monday,False
2025-09-29,CUST0176,Sports,Resistance Bands,3,102.78,East,308.34000000000003,2025-09,Monday,False
